id;description;time_sent;token_value;received;actioned;content_fully_enqueued
1;fuchsia to Zambia;20628;Persevering invoice;true;false;true
2;robust cross-platform teal;8350;transmit Front-line;false;true;false
3;Djibouti;64656;bricks-and-clicks;true;false;true
4;Automated Account Stream;37265;deposit;false;false;false
5;JSON;19778;enable;true;true;true
6;cross-platform deposit;17054;integrated;false;false;true
7;e-commerce copy;65704;parsing Assurance Baby;true;false;true
8;Handcrafted;82800;Cambodia experiences;false;false;false
9;up Investment;93535;index interface Bosnia;true;false;true
10;quantify;1315;next-generation Plastic;false;true;false
